question,label
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",1
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,1
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",2
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",1
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",1
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,2
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,1
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",1
I need to know the effective date of this local law mentioned in Document 27.,1
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",1
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",2
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,2
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",2
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,2
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",3
What information about bias audits of an AEDT must be publicly available before its use?,1
I'm reviewing the regulations regarding Automated Employment Decision Tools (AEDTs) in New York City. Can you explain what a 'Bias Audit' entails in this context and who can conduct it?,2
"Before using an AEDT, what information must an employer or employment agency make publicly available on their website?",1
"I am an employer planning to use an AEDT for screening resumes and scheduling interviews. Can you explain the requirements for conducting a bias audit of the AEDT, including the calculation of impact ratio for different categories such as sex, race/ethnicity, and intersectional categories?",2
I have been using an AEDT for 6 months and need to conduct a bias audit. Can I rely on my own historical data or do I need to provide data from other employers?,2
"I'm considering using an AEDT for hiring and want to ensure compliance. Can you explain the requirements for a bias audit, including the calculation of impact ratios for different race/ethnicity and sex categories?",2
I want to conduct a bias audit for an AEDT. What are the specific requirements for calculating the impact ratio for different race/ethnicity and sex categories?,1
I'm reviewing a policy document and came across the term 'Impact Ratio'. Can you explain what it means and how it is calculated?,2
"I want to conduct a bias audit for an AEDT. What are the requirements for calculating the impact ratio for sex, race/ethnicity, and intersectional categories? Are there any criteria for excluding certain categories from the calculations?",2
"Why is a bias audit necessary for an AEDT, and what are the minimum requirements for conducting a bias audit?",2
Where can a proceeding to recover a civil penalty be returnable to?,1
What information does the bias audit summary need to include?,1
Where can a proceeding to recover a civil penalty be returnable?,1
What does 'simplified output' refer to?,1
What is the effective date of this local law?,1
What is the purpose of the AEDT in the bias audit?,1
What is the definition of an automated employment decision tool?,1
What must a bias audit of an AEDT calculate?,1
What is the purpose of a bias audit for an AEDT?,1
What are the options for an employer or employment agency to provide notice to a candidate for employment who resides in the city?,1
What are the requirements for the published results of a bias audit?,1
What is the definition of 'Bias audit'?,1
What is the definition of an Automated Employment Decision Tool (AEDT)?,1
What information must be publicly available before the use of an AEDT?,1
What is the definition of 'Bias audit' in the context of automated employment decision tools?,1
What are the calculations required in the bias audit for the impact ratio?,1
What are the requirements for using an automated employment decision tool in the city?,1
What is the criteria for excluding a category from the required calculations for impact ratio?,1
What are the requirements for a bias audit of an AEDT?,1
What is the purpose of the AEDT in conducting a bias audit?,1
What is the definition of 'automated employment decision tool'?,1
What is the purpose of a bias audit for automated employment decision tools?,1
What are the requirements for the published results of the bias audit?,1
Where can a proceeding to recover a civil penalty authorized by this subchapter be returnable to?,1
In which tribunals or agencies can a proceeding to recover a civil penalty be filed according to the subchapter?,1
"What are the specific calculations and requirements for conducting a bias audit of an AEDT, including the categories that need to be considered and the conditions under which historical data or test data can be used?",3
What is the definition of 'Impact Ratio' and how is it calculated in relation to the selection rate or scoring rate of different categories?,2
When does this local law come into effect?,1
What is the difference between historical data and test data in the context of conducting a bias audit for an AEDT?,2
What are the requirements for conducting a bias audit for an AEDT? Can an employer or employment agency use test data for the bias audit if there is insufficient historical data available?,2
