question,label
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",LABEL_0
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,LABEL_1
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",LABEL_0
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",LABEL_0
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",LABEL_1
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,LABEL_1
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,LABEL_1
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",LABEL_0
I need to know the effective date of this local law mentioned in Document 27.,LABEL_0
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",LABEL_0
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",LABEL_1
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,LABEL_1
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",LABEL_0
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,LABEL_1
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",LABEL_0
What information about bias audits of an AEDT must be publicly available before its use?,LABEL_0
I'm reviewing the regulations regarding Automated Employment Decision Tools (AEDTs) in New York City. Can you explain what a 'Bias Audit' entails in this context and who can conduct it?,LABEL_1
"Before using an AEDT, what information must an employer or employment agency make publicly available on their website?",LABEL_0
"I am an employer planning to use an AEDT for screening resumes and scheduling interviews. Can you explain the requirements for conducting a bias audit of the AEDT, including the calculation of impact ratio for different categories such as sex, race/ethnicity, and intersectional categories?",LABEL_1
I have been using an AEDT for 6 months and need to conduct a bias audit. Can I rely on my own historical data or do I need to provide data from other employers?,LABEL_1
"I'm considering using an AEDT for hiring and want to ensure compliance. Can you explain the requirements for a bias audit, including the calculation of impact ratios for different race/ethnicity and sex categories?",LABEL_1
I want to conduct a bias audit for an AEDT. What are the specific requirements for calculating the impact ratio for different race/ethnicity and sex categories?,LABEL_1
I'm reviewing a policy document and came across the term 'Impact Ratio'. Can you explain what it means and how it is calculated?,LABEL_1
"I want to conduct a bias audit for an AEDT. What are the requirements for calculating the impact ratio for sex, race/ethnicity, and intersectional categories? Are there any criteria for excluding certain categories from the calculations?",LABEL_1
"Why is a bias audit necessary for an AEDT, and what are the minimum requirements for conducting a bias audit?",LABEL_1
Where can a proceeding to recover a civil penalty be returnable to?,LABEL_0
What information does the bias audit summary need to include?,LABEL_0
Where can a proceeding to recover a civil penalty be returnable?,LABEL_0
What does 'simplified output' refer to?,LABEL_0
What is the effective date of this local law?,LABEL_0
What is the purpose of the AEDT in the bias audit?,LABEL_0
What is the definition of an automated employment decision tool?,LABEL_0
What must a bias audit of an AEDT calculate?,LABEL_0
What is the purpose of a bias audit for an AEDT?,LABEL_0
What are the options for an employer or employment agency to provide notice to a candidate for employment who resides in the city?,LABEL_1
What are the requirements for the published results of a bias audit?,LABEL_0
What is the definition of 'Bias audit'?,LABEL_0
What is the definition of an Automated Employment Decision Tool (AEDT)?,LABEL_0
What information must be publicly available before the use of an AEDT?,LABEL_0
What is the definition of 'Bias audit' in the context of automated employment decision tools?,LABEL_0
What are the calculations required in the bias audit for the impact ratio?,LABEL_0
What are the requirements for using an automated employment decision tool in the city?,LABEL_1
What is the criteria for excluding a category from the required calculations for impact ratio?,LABEL_1
What are the requirements for a bias audit of an AEDT?,LABEL_0
What is the purpose of the AEDT in conducting a bias audit?,LABEL_0
What is the definition of 'automated employment decision tool'?,LABEL_0
What is the purpose of a bias audit for automated employment decision tools?,LABEL_0
What are the requirements for the published results of the bias audit?,LABEL_0
Where can a proceeding to recover a civil penalty authorized by this subchapter be returnable to?,LABEL_0
In which tribunals or agencies can a proceeding to recover a civil penalty be filed according to the subchapter?,LABEL_0
"What are the specific calculations and requirements for conducting a bias audit of an AEDT, including the categories that need to be considered and the conditions under which historical data or test data can be used?",LABEL_1
What is the definition of 'Impact Ratio' and how is it calculated in relation to the selection rate or scoring rate of different categories?,LABEL_1
When does this local law come into effect?,LABEL_0
What is the difference between historical data and test data in the context of conducting a bias audit for an AEDT?,LABEL_0
What are the requirements for conducting a bias audit for an AEDT? Can an employer or employment agency use test data for the bias audit if there is insufficient historical data available?,LABEL_1
"According to the document, what is the definition of 'Candidate for Employment'?",LABEL_0
Can you explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code?,LABEL_0
"What are the steps and criteria for conducting a bias audit of an AEDT, including the calculation of impact ratios for different categories such as sex, race/ethnicity, and intersectional categories?",LABEL_1
What information does an employer or employment agency need to make publicly available before using an AEDT?,LABEL_0
To which tribunals or agencies can a proceeding to recover a civil penalty authorized by this subchapter be brought?,LABEL_0
"What are the specific calculations that must be performed in a bias audit of an AEDT for candidate selection or promotion, and what are the categories that these calculations must be separately performed for?",LABEL_1
What specific calculations must be performed for each category in a bias audit of an AEDT?,LABEL_0
What is the role of the AEDT in conducting bias audits and what are the requirements for using historical data in the audit?,LABEL_1
What is the definition of an automated employment decision tool and what are the requirements for its use in the city?,LABEL_1
What is the role of the AEDT in the bias audit and under what circumstances can an employer or employment agency rely on a bias audit using test data?,LABEL_1
"According to the document, what is the definition of 'employment decision' and what are the requirements for using an automated employment decision tool?",LABEL_1
"What are the specific calculations and requirements that must be performed during a bias audit of an AEDT for selection rates, impact ratios, and categories of sex, race/ethnicity, and intersectionality?",LABEL_1
"According to the information provided, what is the meaning of 'Bias Audit' in the context of automated employment decision tools?",LABEL_0
What is the distinction between historical data and test data in the context of conducting a bias audit for an AEDT?,LABEL_0
Under what condition can an independent auditor exclude a category from the required calculations for impact ratio?,LABEL_0
What are the requirements and notices that an employer or employment agency must comply with when using an automated employment decision tool to screen candidates or employees for an employment decision?,LABEL_1
What are the different methods available for an employer or employment agency to notify a candidate for employment residing in the city about the use of an AEDT?,LABEL_1
What are the criteria and calculations required for conducting a bias audit on the published results of an AEDT?,LABEL_1
What are the specific requirements that an employer or employment agency in the city must fulfill when using an automated employment decision tool to screen candidates or employees for employment decisions?,LABEL_1
To which tribunals can a proceeding to recover a civil penalty be returned in the context of automated employment decision tools?,LABEL_0
What does the term 'Bias Audit' refer to according to § 20-870 of the Code?,LABEL_0
How is the AEDT used in the bias audit to assess the demographic composition of applicants?,LABEL_0
What is the process for calculating the impact ratio in a bias audit of an AEDT?,LABEL_0
"According to the provided context, how is an 'automated employment decision tool' defined in terms of its impact on employment decisions?",LABEL_0
Under what circumstance can a category be excluded from the bias audit calculations?,LABEL_0
"In the context of the provided example, what are the two possible meanings of 'Impact Ratio'?",LABEL_0
"In the context of automated employment decision tools, how is 'employment decision' defined for the purpose of screening candidates or employees?",LABEL_0
What criteria must be met in order to exclude a category from the required calculations for the impact ratio in a bias audit of an AEDT?,LABEL_0
What are the specific requirements for conducting a bias audit of an AEDT using historical data?,LABEL_0
What are the options for an employer or employment agency to provide notice to a candidate for employment before the use of an AEDT if they have used the AEDT in the past?,LABEL_1
"According to § 20-870 of the Code, what does the term 'Bias Audit' mean?",LABEL_0
What calculations are required for a bias audit of an AEDT according to the new rules?,LABEL_0
Why is it important to conduct a bias audit for automated employment decision tools with regards to persons of any component 1 category required to be reported by employers?,LABEL_1
What are the requirements for conducting a bias audit of an AEDT used to screen resumes and schedule interviews for a job posting?,LABEL_1
How can an employer provide notice to candidates for employment about the use of an AEDT in compliance with the law?,LABEL_1
What criteria must be met for an automated employment decision tool to require a bias audit?,LABEL_0
What are the requirements for conducting a bias audit of an automated employment decision tool?,LABEL_1
Why is a bias audit necessary for automated employment decision tools in the context of this subchapter?,LABEL_0
What information should be included in the published results of the bias audit for the AEDT?,LABEL_0
"When conducting a bias audit for an AEDT, is it necessary to calculate the impact ratio for each race/ethnicity and sex category separately?",LABEL_0
To which tribunals can a proceeding to recover a civil penalty authorized by this subchapter be returnable?,LABEL_0
What are some methods that an employer or employment agency can use to provide notice to candidates for employment at least 10 business days before use of an AEDT?,LABEL_1
What calculations are required to be performed in a bias audit of an AEDT according to the new legislation?,LABEL_0
Are there any specific requirements or criteria that an automated employment decision tool must meet according to the local law in New York City?,LABEL_1
"I'm considering using an AEDT for the first time. Can I rely on a bias audit conducted using the historical data of other employers or employment agencies, or can I conduct a bias audit using test data? What is the definition of 'test data' in the context of a bias audit?",LABEL_1
I have been using an AEDT for 3 years and will soon need an updated bias audit. Can you tell me what information is included in the bias audit summary?,LABEL_1
Can you explain the definition of an Automated Employment Decision Tool (AEDT) according to Local Law 144 in New York City?,LABEL_0
Can you explain the definition of an automated employment decision tool according to Local Law 144 in New York City?,LABEL_0
Can you explain the meaning of test data in the context of a bias audit according to Local Law 144 and other policy documents?,LABEL_0
"I am an employer using an AEDT to score applicants for 'culture fit' and want to ensure a bias audit was conducted before using the AEDT. What is the threshold for excluding a category, such as sex or race/ethnicity, from the required calculations for impact ratio?",LABEL_1
"As a lawyer reviewing the requirements for bias audits in accordance with Local Law 144, can you explain what 'test data' means in the context of a bias audit?",LABEL_1
What are the requirements for a bias audit of an AEDT according to Local Law 144 and other policy documents?,LABEL_1
"As a legal consultant for Local Law 144 and other policy documents, I would like to know where a proceeding to recover a civil penalty authorized by this subchapter can be returned to.",LABEL_0
"As a lawyer working on Local Law 144 and other policy documents, I need information on the race and ethnicity categories in the selection process. Can you explain the purpose of the AEDT in the bias audit?",LABEL_1
"As a legal advisor for Local Law 144 and other policy documents, can you explain the definition of an automated employment decision tool?",LABEL_0
"As a business owner interested in learning about Local Law 144 and other policy documents, I would like to know where a proceeding to recover a civil penalty can be returnable?",LABEL_0
"As a student from Canada who will be studying in Europe, what can an independent auditor exclude from the required calculations for impact ratio?",LABEL_0
I have been using an AEDT for 3 years and will soon need an updated bias audit. Can you tell me what information must be included in the summary of results of a bias audit?,LABEL_1
What are the requirements for the published results of the bias audit for the AEDT?,LABEL_0
"As a legal chatbot for Local Law 144 and other policy documents, can you tell me where a proceeding to recover a civil penalty can be returnable?",LABEL_0
"As an employer who has been using an AEDT for 3 years and will soon need an updated bias audit, what are the requirements for conducting a bias audit?",LABEL_1
I'm reviewing policy documents related to bias audits and I'm seeking clarification on the definition of 'Impact Ratio'. Can you explain what 'Impact Ratio' means?,LABEL_1
Can you please explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code?,LABEL_0
Can you explain the definition of an Automated Employment Decision Tool (AEDT) according to Local Law 144 of 2021 in New York City? I'm trying to understand how it applies to the new rules our company is implementing.,LABEL_0
What are the methods an employer or employment agency can use to provide notice to candidates for employment according to Local Law 144?,LABEL_1
"In the context of a company in New York City using an automated employment decision tool to screen candidates and employees, what is the definition of an automated employment decision tool?",LABEL_0
Can you please explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code in the context of Local Law 144?,LABEL_0
"As a legal chatbot for Local Law 144 and other policy documents, can you tell me where a proceeding to recover a civil penalty authorized by this subchapter can be returned to?",LABEL_0
Can you please explain the purpose of the AEDT in the bias audit for Local Law 144 and other policy documents?,LABEL_0
What is the definition of an automated employment decision tool and what penalties are imposed for violating its requirements?,LABEL_1
What are the requirements for a bias audit of an AEDT and what changes were made in the second version of the proposed rules?,LABEL_1
What is the definition of an automated employment decision tool and what is a bias audit?,LABEL_1
Where is a proceeding to recover a civil penalty returnable and who has the authority to initiate an action or proceeding for correction of a violation?,LABEL_1
"What are the requirements for an employer or employment agency to comply with § 20-871(b)(1) and (2) of the Code, and what information must they make publicly available before the use of an AEDT?",LABEL_1
