question,label
"What are the key objectives of Local Law 144, and how do they aim to improve employment practices in New York City?",3
"In what ways does Local Law 144 promote transparency and accountability in the use of automated employment decision tools, and what specific measures are outlined to achieve these goals?",3
"How does Local Law 144 address the identification and mitigation of biases in automated employment decision tools, and what are the main components of the bias audit process?",3
"What responsibilities do employers and employment agencies have under Local Law 144 to ensure compliance, and how are these responsibilities enforced?",3
"How does Local Law 144 integrate requirements for bias audits, transparency, and penalties to create a comprehensive regulatory framework for automated employment decision tools?",3
"What are the significant enforcement mechanisms included in Local Law 144, and how do they support the law’s overall objectives?",3
"How does Local Law 144 ensure that automated employment decision tools are used in a non-discriminatory manner, and what are the key requirements for bias audits and transparency?",3
"What roles do independent auditors play under Local Law 144, and how is their role critical to the law's enforcement and compliance strategies?",3
How does Local Law 144 define and regulate the use of data in automated employment decision tools to protect candidates' and employees' rights?,3
"How does Local Law 144 combine the elements of bias audits, transparency, and employer responsibilities to address the challenges associated with automated employment decision tools?",3
What are the main goals of Local Law 144 and how does it aim to transform the use of automated employment decision tools in New York City?,3
"How does Local Law 144 ensure that automated employment decision tools are used fairly and transparently, and what key measures are put in place to achieve this?",3
"What comprehensive steps does Local Law 144 mandate to address bias in automated employment decision tools, and how are these steps integrated into the overall regulatory framework?",3
In what ways does Local Law 144 require employers to maintain transparency with job candidates and employees about the use of automated tools in their employment decisions?,3
"How are the enforcement and penalty provisions in Local Law 144 designed to ensure compliance, and what are the key responsibilities for employers under these provisions?",3
"What critical roles do bias audits and independent auditors play in Local Law 144, and how do these roles contribute to achieving the law’s objectives?",3
How does Local Law 144 balance the need for technological advancement in employment practices with the necessity of protecting candidates from discriminatory outcomes?,3
"What mechanisms does Local Law 144 establish for ongoing compliance and enforcement, and how do these mechanisms support the law's broader goals?",3
How does Local Law 144's framework for data usage in automated employment decision tools safeguard the rights of individuals and ensure ethical practices?,3
"In what ways does Local Law 144 combine transparency, accountability, and bias mitigation to create a robust system for regulating automated employment decision tools?",3
How does Local Law 144 define and handle bias audits?,3
What transparency measures does Local Law 144 require from employers?,3
What penalties are outlined for non-compliance in Local Law 144?,3
How are automated employment decision tools regulated under Local Law 144?,3
What are the key reporting requirements for employers in Local Law 144?,3
How does Local Law 144 protect candidates' rights in employment decisions?,3
What responsibilities do employment agencies have under Local Law 144?,3
How does Local Law 144 integrate with existing employment regulations?,3
What is the role of public disclosure in Local Law 144?,3
How does Local Law 144 address data retention and usage in employment tools?,3
What are the key objectives of the new regulations on automated employment decision tools?,3
How do the new rules promote transparency in the use of employment tools?,3
What steps are mandated to reduce bias in employment decision-making processes?,3
What are the main responsibilities for employers under these regulations?,3
How are compliance and penalties enforced under the new law?,3
What role do independent auditors play in ensuring compliance with the regulations?,3
How do the regulations ensure non-discriminatory use of automated employment tools?,3
What data protection measures are required by the new rules?,3
How do the regulations integrate bias audits and transparency requirements?,3
What enforcement mechanisms are included in the new employment tool regulations?,3
How are bias audits defined and handled under the new rules?,3
What transparency measures must employers follow according to the new regulations?,3
What penalties are outlined for non-compliance with the new rules?,3
How are automated employment decision tools regulated under the new framework?,3
What are the key reporting requirements for employers using these tools?,3
How do the new regulations protect candidates' rights in employment decisions?,3
What responsibilities do employment agencies have under the new regulations?,3
How do these regulations integrate with existing employment laws?,3
What is the role of public disclosure in the new regulatory framework?,3
How are data retention and usage addressed in the new employment tool regulations?,3
"What are the overarching goals of the new regulations regarding automated employment decision tools, and how are these goals intended to impact hiring practices in New York City?",3
"How do the new regulations promote transparency and accountability among employers using automated tools for employment decisions, and what specific measures must employers take to comply?",3
"What comprehensive steps are mandated to identify and mitigate biases in automated employment decision tools, and how do these steps contribute to fairer hiring practices?",3
What responsibilities and obligations are placed on employers and employment agencies to ensure they comply with the new regulations on automated decision-making tools?,3
"How do the new rules enforce compliance and penalize non-compliance, and what mechanisms are in place to ensure these penalties are effectively administered?",3
"What critical roles do independent auditors play in the regulatory framework, and how does their involvement enhance the integrity and fairness of automated employment decision tools?",3
How do the new regulations balance the need for technological innovation in employment practices with the necessity of protecting candidates from biased or unfair outcomes?,3
"What mechanisms and processes are established for ongoing compliance and enforcement of the new rules, and how do these support the broader goals of fairness and transparency?",3
How are data usage and protection regulated under the new framework to ensure the rights of job candidates and employees are safeguarded?,3
"In what ways do the new regulations combine requirements for bias audits, transparency, and employer responsibilities to create a robust and comprehensive regulatory framework for automated employment tools?",3
"How do the new rules define and handle the process of conducting bias audits, and what are the key elements required to ensure these audits are thorough and effective?",3
"What specific transparency measures must employers follow to comply with the new regulations, and how do these measures enhance the overall fairness of the hiring process?",3
"What are the significant enforcement mechanisms included in the new regulations, and how do they support the law’s overall objectives of reducing bias and ensuring fair employment practices?",3
"How do the new regulations ensure that automated employment decision tools are used in a non-discriminatory manner, and what are the primary requirements for conducting bias audits and maintaining transparency?",3
"What roles do independent auditors play under the new regulatory framework, and how is their role critical to the law's enforcement and compliance strategies?",3
How are employers and employment agencies required to handle data and information related to automated employment decision tools to protect candidates' and employees' rights?,3
"What comprehensive framework do the new regulations establish for the use of automated employment decision tools, and how does this framework address potential biases and ensure transparency?",3
"How do the new rules integrate requirements for bias audits, transparency, and penalties to create a comprehensive approach to regulating automated employment decision tools?",3
"What enforcement mechanisms are in place to ensure employers comply with the new regulations on automated employment decision tools, and how do these mechanisms promote fair hiring practices?",3
"How do the new regulations impact the development and deployment of automated employment decision tools by technology vendors, and what are the implications for employers?",3
"As a business owner, I need a clear summary of the key goals, transparency measures, and enforcement mechanisms of the new regulations on automated employment decision tools. How will these impact my hiring process?",3
"Can you explain in simple terms how the new regulations promote fairness, transparency, and accountability in the use of automated employment decision tools?",3
"What are the main responsibilities of employers, the role of bias audits, and the penalties for non-compliance under the new rules for automated employment decision tools?",3
"From a legal perspective, how do the new regulations address potential biases, ensure compliance, and integrate with existing employment laws?",3
"As a student researching employment laws, how do the new regulations integrate bias audits, transparency, and penalties to create a comprehensive fair hiring framework?",3
"In what ways do the new rules require employers to maintain transparency, protect candidate data, and mitigate biases in automated employment tools?",3
"For a tech vendor, what are the implications of the new regulations on the development, deployment, and compliance requirements for automated employment decision tools?",3
"How do the new regulations balance technological innovation, non-discriminatory practices, and transparency in hiring processes?",3
"What comprehensive steps are mandated to identify and mitigate biases, ensure transparency, and protect candidate data in automated employment decision tools?",3
"As a consultant, what are the significant enforcement mechanisms, employer responsibilities, and independent auditor roles included in the new regulations, and how do they support the law's objectives?",3
"In what ways do the new regulations combine transparency, accountability, and bias mitigation to create a robust system for regulating automated employment decision tools?",3
"Can you describe the role of independent auditors, the process of bias audits, and the transparency requirements under the new regulations?",3
"What specific measures must employers take to comply with transparency requirements, protect candidate data, and conduct bias audits for automated employment decision tools?",3
"As an HR professional, how are data usage, bias audits, and transparency regulated under the new framework to ensure the rights of job candidates and employees are safeguarded?",3
"How do the new regulations enforce compliance, penalize non-compliance, and ensure ongoing fairness and transparency in automated employment decision tools?",3
"In the context of ongoing compliance, what mechanisms and processes are established by the new rules to support fairness, transparency, and bias mitigation?",3
"What roles do independent auditors play in the regulatory framework, how are bias audits conducted, and what are the compliance requirements for employers?",3
"How are employers and employment agencies required to handle data protection, conduct bias audits, and maintain transparency for automated employment decision tools?",3
"How do the new regulations define and handle the process of conducting bias audits, ensure data protection, and promote transparency in employment decisions?",3
"For a legal advisor, how does the new framework for automated employment decision tools address potential biases, ensure compliance, and integrate with broader employment regulations?",3
"What are the overarching goals of the new regulations, the role of bias audits, and the transparency requirements regarding automated employment decision tools?",3
"As a business owner, what comprehensive framework do the new regulations establish for the use of automated employment decision tools, and how do these address potential biases, transparency, and compliance?",3
"What enforcement mechanisms, employer responsibilities, and independent auditor roles are in place to ensure compliance with the new regulations on automated employment decision tools?",3
"As a technology vendor, how do the new regulations impact the development, deployment, and compliance requirements of automated employment decision tools, and what are the implications for my products?",3
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",1
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,1
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",2
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",1
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",1
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,2
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,1
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",1
I need to know the effective date of this local law mentioned in Document 27.,1
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",1
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",2
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,2
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",2
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,2
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",3
What information about bias audits of an AEDT must be publicly available before its use?,1
