,precision,recall,f1-score,support,dataset
0,0.9468085106382979,0.8240740740740741,0.8811881188118812,108.0,validation_300
1,0.8442622950819673,0.9537037037037037,0.8956521739130435,108.0,validation_300
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,validation_300
macro avg,0.8955354028601326,0.8888888888888888,0.8884201463624624,216.0,validation_300
weighted avg,0.8955354028601326,0.8888888888888888,0.8884201463624625,216.0,validation_300
0,0.9004739336492891,0.8796296296296297,0.8899297423887588,216.0,test_300
1,0.8823529411764706,0.9027777777777778,0.8924485125858124,216.0,test_300
accuracy,0.8912037037037037,0.8912037037037037,0.8912037037037037,0.8912037037037037,test_300
macro avg,0.8914134374128798,0.8912037037037037,0.8911891274872856,432.0,test_300
weighted avg,0.8914134374128798,0.8912037037037037,0.8911891274872856,432.0,test_300
0,0.94,0.8703703703703703,0.9038461538461539,108.0,validation_600
1,0.8793103448275862,0.9444444444444444,0.9107142857142857,108.0,validation_600
accuracy,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,validation_600
macro avg,0.9096551724137931,0.9074074074074074,0.9072802197802198,216.0,validation_600
weighted avg,0.909655172413793,0.9074074074074074,0.9072802197802198,216.0,validation_600
0,0.9285714285714286,0.9027777777777778,0.9154929577464789,216.0,test_600
1,0.9054054054054054,0.9305555555555556,0.9178082191780822,216.0,test_600
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,test_600
macro avg,0.916988416988417,0.9166666666666667,0.9166505884622805,432.0,test_600
weighted avg,0.916988416988417,0.9166666666666666,0.9166505884622805,432.0,test_600
0,0.941747572815534,0.8981481481481481,0.919431279620853,108.0,validation_1200
1,0.9026548672566371,0.9444444444444444,0.9230769230769231,108.0,validation_1200
accuracy,0.9212962962962963,0.9212962962962963,0.9212962962962963,0.9212962962962963,validation_1200
macro avg,0.9222012200360856,0.9212962962962963,0.9212541013488881,216.0,validation_1200
weighted avg,0.9222012200360856,0.9212962962962963,0.9212541013488881,216.0,validation_1200
0,0.937799043062201,0.9074074074074074,0.9223529411764706,216.0,test_1200
1,0.9103139013452914,0.9398148148148148,0.9248291571753986,216.0,test_1200
accuracy,0.9236111111111112,0.9236111111111112,0.9236111111111112,0.9236111111111112,test_1200
macro avg,0.9240564722037462,0.9236111111111112,0.9235910491759346,432.0,test_1200
weighted avg,0.9240564722037462,0.9236111111111112,0.9235910491759346,432.0,test_1200
0,0.9313725490196079,0.8796296296296297,0.9047619047619048,108.0,validation_full
1,0.8859649122807017,0.9351851851851852,0.9099099099099099,108.0,validation_full
accuracy,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9074074074074074,validation_full
macro avg,0.9086687306501549,0.9074074074074074,0.9073359073359073,216.0,validation_full
weighted avg,0.9086687306501547,0.9074074074074074,0.9073359073359073,216.0,validation_full
0,0.9330143540669856,0.9027777777777778,0.9176470588235294,216.0,test_full
1,0.905829596412556,0.9351851851851852,0.9202733485193622,216.0,test_full
accuracy,0.9189814814814815,0.9189814814814815,0.9189814814814815,0.9189814814814815,test_full
macro avg,0.9194219752397708,0.9189814814814815,0.9189602036714457,432.0,test_full
weighted avg,0.9194219752397708,0.9189814814814815,0.9189602036714457,432.0,test_full
