,precision,recall,f1-score,support,dataset
0,0.9270833333333334,0.8240740740740741,0.8725490196078431,108.0,validation_300
1,0.7017543859649122,0.7766990291262136,0.7373271889400922,103.0,validation_300
2,0.7777777777777778,0.7857142857142857,0.7817258883248731,98.0,validation_300
accuracy,0.7961165048543689,0.7961165048543689,0.7961165048543689,0.7961165048543689,validation_300
macro avg,0.8022051656920078,0.7954957963048578,0.7972006989576027,309.0,validation_300
weighted avg,0.8046211131929069,0.7961165048543689,0.7986703289136379,309.0,validation_300
0,0.9187817258883249,0.8379629629629629,0.8765133171912833,216.0,test_300
1,0.7333333333333333,0.8543689320388349,0.7892376681614349,206.0,test_300
2,0.8722222222222222,0.8051282051282052,0.8373333333333334,195.0,test_300
accuracy,0.833063209076175,0.833063209076175,0.833063209076175,0.833063209076175,test_300
macro avg,0.8414457604812934,0.8324867000433344,0.8343614395620172,617.0,test_300
weighted avg,0.8421504907485869,0.833063209076175,0.8349916307205393,617.0,test_300
0,0.8942307692307693,0.8611111111111112,0.8773584905660378,108.0,validation_600
1,0.7238095238095238,0.7378640776699029,0.7307692307692307,103.0,validation_600
2,0.77,0.7857142857142857,0.7777777777777778,98.0,validation_600
accuracy,0.7961165048543689,0.7961165048543689,0.7961165048543689,0.7961165048543689,validation_600
macro avg,0.796013431013431,0.7948964914984332,0.7953018330376821,309.0,validation_600
weighted avg,0.7980236376352882,0.7961165048543689,0.7969131714323141,309.0,validation_600
0,0.935,0.8657407407407407,0.8990384615384616,216.0,test_600
1,0.7636363636363637,0.8155339805825242,0.7887323943661971,206.0,test_600
2,0.8426395939086294,0.8512820512820513,0.8469387755102041,195.0,test_600
accuracy,0.8444084278768234,0.8444084278768234,0.8444084278768234,0.8444084278768234,test_600
macro avg,0.8470919858483311,0.8441855908684387,0.844903210471621,617.0,test_600
weighted avg,0.8485961292078988,0.8444084278768234,0.8457443146778509,617.0,test_600
0,0.9339622641509434,0.9166666666666666,0.9252336448598131,108.0,validation_1200
1,0.7916666666666666,0.7378640776699029,0.7638190954773869,103.0,validation_1200
2,0.7757009345794392,0.8469387755102041,0.8097560975609757,98.0,validation_1200
accuracy,0.8349514563106796,0.8349514563106796,0.8349514563106796,0.8349514563106796,validation_1200
macro avg,0.8337766217990165,0.833823173282258,0.8329362792993918,309.0,validation_1200
weighted avg,0.8363374847370665,0.8349514563106796,0.8348048480259104,309.0,validation_1200
0,0.9455445544554455,0.8842592592592593,0.9138755980861244,216.0,test_1200
1,0.8155339805825242,0.8155339805825242,0.8155339805825242,206.0,test_1200
2,0.84688995215311,0.9076923076923077,0.8762376237623762,195.0,test_1200
accuracy,0.8687196110210696,0.8687196110210696,0.8687196110210696,0.8687196110210696,test_1200
macro avg,0.8693228290636933,0.8691618491780303,0.8685490674770082,617.0,test_1200
weighted avg,0.8709581271186916,0.8687196110210696,0.8691466220749857,617.0,test_1200
0,0.9166666666666666,0.9166666666666666,0.9166666666666666,108.0,validation_full
1,0.7978723404255319,0.7281553398058253,0.7614213197969543,103.0,validation_full
2,0.794392523364486,0.8673469387755102,0.8292682926829268,98.0,validation_full
accuracy,0.8381877022653722,0.8381877022653722,0.8381877022653722,0.8381877022653722,validation_full
macro avg,0.8363105101522281,0.8373896484160007,0.8357854263821826,309.0,validation_full
weighted avg,0.8382890561603541,0.8381877022653722,0.8371996395534406,309.0,validation_full
0,0.927536231884058,0.8888888888888888,0.9078014184397163,216.0,test_full
1,0.8048780487804879,0.8009708737864077,0.8029197080291971,206.0,test_full
2,0.8536585365853658,0.8974358974358975,0.875,195.0,test_full
accuracy,0.8622366288492707,0.8622366288492707,0.8622366288492707,0.8622366288492707,test_full
macro avg,0.8620242724166371,0.8624318867037313,0.8619070421563045,617.0,test_full
weighted avg,0.8632352005994869,0.8622366288492707,0.8624174493306213,617.0,test_full
