,precision,recall,f1-score,support,dataset
0,0.8888888888888888,0.8148148148148148,0.8502415458937198,108.0,validation_300
1,0.6850393700787402,0.8446601941747572,0.7565217391304347,103.0,validation_300
2,0.8433734939759037,0.7142857142857143,0.7734806629834254,98.0,validation_300
accuracy,0.7928802588996764,0.7928802588996764,0.7928802588996764,0.7928802588996764,validation_300
macro avg,0.8057672509811775,0.7912535744250954,0.79341464933586,309.0,validation_300
weighted avg,0.8065037460444945,0.7928802588996764,0.7946567348198453,309.0,validation_300
0,0.905,0.8379629629629629,0.8701923076923077,216.0,test_300
1,0.7183673469387755,0.8543689320388349,0.7804878048780488,206.0,test_300
2,0.8895348837209303,0.7846153846153846,0.8337874659400545,195.0,test_300
accuracy,0.826580226904376,0.826580226904376,0.826580226904376,0.826580226904376,test_300
macro avg,0.8376340768865687,0.8256490932057274,0.8281558595034704,617.0,test_300
weighted avg,0.8378006090680215,0.826580226904376,0.8287367619525561,617.0,test_300
0,0.91,0.8425925925925926,0.875,108.0,validation_600
1,0.7289719626168224,0.7572815533980582,0.7428571428571429,103.0,validation_600
2,0.7745098039215687,0.8061224489795918,0.79,98.0,validation_600
accuracy,0.8025889967637541,0.8025889967637541,0.8025889967637541,0.8025889967637541,validation_600
macro avg,0.8044939221794637,0.801998864990081,0.8026190476190477,309.0,validation_600
weighted avg,0.8066863201742603,0.8025889967637541,0.803994452149792,309.0,validation_600
0,0.9191919191919192,0.8425925925925926,0.8792270531400966,216.0,test_600
1,0.7589285714285714,0.8252427184466019,0.7906976744186046,206.0,test_600
2,0.8666666666666667,0.8666666666666667,0.8666666666666667,195.0,test_600
accuracy,0.8444084278768234,0.8444084278768234,0.8444084278768234,0.8444084278768234,test_600
macro avg,0.8482623857623858,0.8448339925686205,0.8455304647417893,617.0,test_600
weighted avg,0.8490838577953651,0.8444084278768234,0.8456997802406702,617.0,test_600
0,0.9333333333333333,0.9074074074074074,0.92018779342723,108.0,validation_1200
1,0.7894736842105263,0.7281553398058253,0.7575757575757576,103.0,validation_1200
2,0.7706422018348624,0.8571428571428571,0.8115942028985508,98.0,validation_1200
accuracy,0.8317152103559871,0.8317152103559871,0.8317152103559871,0.8317152103559871,validation_1200
macro avg,0.8311497397929074,0.8309018681186967,0.8297859179671795,309.0,validation_1200
weighted avg,0.8337822823737888,0.8317152103559871,0.8315430958074492,309.0,validation_1200
0,0.9219512195121952,0.875,0.8978622327790974,216.0,test_1200
1,0.8059701492537313,0.7864077669902912,0.7960687960687961,206.0,test_1200
2,0.8483412322274881,0.9179487179487179,0.8817733990147784,195.0,test_1200
accuracy,0.8589951377633711,0.8589951377633711,0.8589951377633711,0.8589951377633711,test_1200
macro avg,0.8587542003311383,0.8597854949796697,0.8585681426208907,617.0,test_1200
weighted avg,0.8599641076908638,0.8589951377633711,0.8587912918611651,617.0,test_1200
0,0.9351851851851852,0.9351851851851852,0.9351851851851852,108.0,validation_full
1,0.8210526315789474,0.7572815533980582,0.7878787878787878,103.0,validation_full
2,0.8207547169811321,0.8877551020408163,0.8529411764705882,98.0,validation_full
accuracy,0.86084142394822,0.86084142394822,0.86084142394822,0.86084142394822,validation_full
macro avg,0.8589975112484215,0.8600739468746866,0.8586683831781872,309.0,validation_full
weighted avg,0.8608491369475163,0.86084142394822,0.8599991923806886,309.0,validation_full
0,0.9468599033816425,0.9074074074074074,0.9267139479905437,216.0,test_full
1,0.8195121951219512,0.8155339805825242,0.8175182481751825,206.0,test_full
2,0.8536585365853658,0.8974358974358975,0.875,195.0,test_full
accuracy,0.873581847649919,0.873581847649919,0.873581847649919,0.873581847649919,test_full
macro avg,0.8733435450296532,0.8734590951419431,0.8730773987219087,617.0,test_full
weighted avg,0.8748860064176712,0.873581847649919,0.8739124341815966,617.0,test_full
