question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.8455484666537622,0.8503405834947314,0.9041481848273959,,4.035714285714286,82.14285714285714,42.857142857142854
complex,0.8883534757740746,0.8547607106821877,0.7618602280105863,,4.678571428571429,100.0,35.714285714285715
complex_situational,0.8451660671851903,0.7613829895853996,0.7514646564211164,,4.571428571428571,96.42857142857143,32.142857142857146
conversational,0.3441187506724591,0.3492002934217453,0.7374696226223655,,3.652173913043478,47.82608695652174,4.3478260869565215
distracting element,0.7861900377139456,0.7431528744874177,0.7340674687314916,,4.148148148148148,81.48148148148148,22.22222222222222
double,0.9134732788578942,0.7549961839730923,0.8108696937561035,,4.076923076923077,84.61538461538461,65.38461538461539
out of scope,,,0.5701016011061492,,3.4814814814814814,48.148148148148145,62.96296296296296
rule_conclusion,0.8072293719352543,0.8065090797565602,0.8130404640127111,,4.185185185185185,85.18518518518519,59.25925925925925
simple,0.8986568986568986,0.833406918323957,0.8000976019180738,,4.5,88.46153846153845,53.84615384615385
situational,0.8472227361116249,0.8500772802918045,0.7798800534672208,,4.222222222222222,74.07407407407408,44.44444444444444
vague,0.7422568172568172,0.24055802490976122,0.5871346901964258,,2.5185185185185186,22.22222222222222,0.0
Overall,0.7984355511291845,0.7104107616434383,0.7503750082992372,,4.01360544217687,74.14965986394559,38.775510204081634
