question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9512329931972789,0.8322113028594426,0.90739463695458,,3.9642857142857144,78.57142857142857,46.42857142857143
complex,0.8861451398741315,0.7877028062939644,0.7697624542883464,,4.75,100.0,39.285714285714285
complex_situational,0.8340702480804664,0.7577454426458904,0.7490285017660686,,4.535714285714286,100.0,42.857142857142854
conversational,0.2661639959241159,0.37413596653419995,0.7278575638066167,,3.5652173913043477,65.21739130434783,4.3478260869565215
distracting element,0.8203077137287664,0.7681830437095077,0.7336734588499423,,4.222222222222222,88.88888888888889,22.22222222222222
double,0.9187024087024087,0.8660650081359423,0.8120874326962692,,4.1923076923076925,92.3076923076923,61.53846153846154
out of scope,,,0.564267650798515,,3.7037037037037037,44.44444444444444,59.25925925925925
rule_conclusion,0.7848894932228266,0.749803571789353,0.8247881001896329,,4.62962962962963,96.29629629629629,77.77777777777779
simple,0.9556213017751479,0.8386935431223649,0.8021552035441766,,4.423076923076923,92.3076923076923,42.30769230769231
situational,0.9425066702844481,0.8414263548674407,0.8006177081002129,,4.37037037037037,85.18518518518519,66.66666666666666
vague,0.7343991373403139,0.28279010785950554,0.577676898903317,,2.3703703703703702,11.11111111111111,0.0
Overall,0.8174963462340272,0.7147670416684633,0.7522852794856442,,4.074829931972789,77.89115646258503,42.517006802721085
