question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9277609069943766,0.8328136993306023,0.900848633476666,,4.071428571428571,92.85714285714286,35.714285714285715
complex,0.9414598794063079,0.7954413699252265,0.7664870726210731,,4.571428571428571,96.42857142857143,42.857142857142854
complex_situational,0.8453947751349344,0.7284855438130242,0.7589767575263977,,4.464285714285714,100.0,39.285714285714285
conversational,0.2827550468854817,0.3617843713449395,0.729745837657348,,3.739130434782609,60.86956521739131,4.3478260869565215
distracting element,0.8046334196339238,0.7562855195116114,0.7374069745893832,,4.2592592592592595,88.88888888888889,18.51851851851852
double,0.9341498778998779,0.7597013551455277,0.8102643054265243,,3.923076923076923,84.61538461538461,73.07692307692307
out of scope,,,0.5644982192251418,,3.5555555555555554,51.85185185185185,66.66666666666666
rule_conclusion,0.7817480359147025,0.7138764195972018,0.8094559952064797,,4.2592592592592595,85.18518518518519,48.148148148148145
simple,0.904972804972805,0.8234386512866387,0.8136586844921112,,4.576923076923077,92.3076923076923,50.0
situational,0.8617406256295146,0.8463529237994442,0.7805494688175343,,4.222222222222222,74.07407407407408,48.148148148148145
vague,0.6882849660627438,0.2614613236100585,0.5774611665142907,,2.4814814814814814,25.925925925925924,0.0
Overall,0.8052913177211874,0.6931714416108328,0.7503943545680468,,4.017006802721088,77.89115646258503,39.1156462585034
