question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9112696652087408,0.8459516827549253,0.9008098819426128,,4.071428571428571,85.71428571428571,46.42857142857143
complex,0.9677691356262785,0.7873254141637257,0.7628351897001266,,4.714285714285714,100.0,42.857142857142854
complex_situational,0.8126694881273343,0.7599133412752833,0.7463110493762153,,4.464285714285714,96.42857142857143,46.42857142857143
conversational,0.3319275427221454,0.37294364623401477,0.7270409775816876,,3.5652173913043477,56.52173913043478,4.3478260869565215
distracting element,0.846197476689966,0.7231321511445222,0.7356903773766977,,4.2592592592592595,81.48148148148148,29.629629629629626
double,0.9111971361971362,0.8034389683833489,0.8147541284561157,,4.115384615384615,88.46153846153845,73.07692307692307
out of scope,,,0.5605128407478333,,3.5555555555555554,40.74074074074074,55.55555555555556
rule_conclusion,0.8009322981545204,0.7454539714036165,0.8274370674733762,,4.555555555555555,96.29629629629629,74.07407407407408
simple,0.9147727272727273,0.8075569272041321,0.8107831180095673,,4.5,92.3076923076923,46.15384615384615
situational,0.9590425025122882,0.8807170037870053,0.7968199606294986,,4.444444444444445,88.88888888888889,62.96296296296296
vague,0.698805256869773,0.236633508293717,0.5478088767440231,,2.1481481481481484,7.4074074074074066,0.0
Overall,0.8228905447486461,0.7014727286631695,0.7486664918409723,,4.04421768707483,76.19047619047619,44.21768707482993
