question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.8909419157100988,0.7998636769396918,0.9042909017630986,,4.071428571428571,85.71428571428571,42.857142857142854
complex,0.92213936856794,0.8324735781976155,0.7621097713708878,,4.678571428571429,100.0,35.714285714285715
complex_situational,0.8311426540313095,0.7171503284147808,0.7508154383727482,,4.642857142857143,96.42857142857143,35.714285714285715
conversational,0.3434655923786359,0.3703517926775891,0.7377985858398936,,3.652173913043478,47.82608695652174,4.3478260869565215
distracting element,0.7963897993481757,0.767415722211202,0.733610415900195,,4.148148148148148,81.48148148148148,22.22222222222222
double,0.9144179264148303,0.7588958121263064,0.8108696937561035,,4.076923076923077,84.61538461538461,61.53846153846154
out of scope,,,0.5701016011061492,,3.5185185185185186,51.85185185185185,62.96296296296296
rule_conclusion,0.7767955658478535,0.7739096637125369,0.8141801467648259,,4.185185185185185,85.18518518518519,59.25925925925925
simple,0.8924658674658675,0.8038586240548354,0.8000976019180738,,4.5,88.46153846153845,53.84615384615385
situational,0.8477065278234869,0.8394578209629765,0.779608514573839,,4.222222222222222,74.07407407407408,48.148148148148145
vague,0.6593597349152905,0.25518413605513396,0.5876747303538852,,2.5185185185185186,22.22222222222222,0.0
Overall,0.7943211666386079,0.6970280043864518,0.7504636201323295,,4.0272108843537415,74.82993197278913,39.1156462585034
