question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9200471520960243,0.8088943936995098,0.9067645349672863,,3.9642857142857144,78.57142857142857,42.857142857142854
complex,0.8702178325630338,0.800725597356047,0.7697624542883464,,4.75,100.0,39.285714285714285
complex_situational,0.8240941119424091,0.7882776803203991,0.7483008333614894,,4.535714285714286,100.0,39.285714285714285
conversational,0.31895394460611853,0.38224084351373755,0.7284616905709972,,3.652173913043478,65.21739130434783,4.3478260869565215
distracting element,0.799534087311865,0.7570141796712522,0.7330687785590136,,4.222222222222222,88.88888888888889,18.51851851851852
double,0.9275058275058274,0.8699501775778257,0.812600715802266,,4.153846153846154,92.3076923076923,61.53846153846154
out of scope,,,0.5639477261790523,,3.6666666666666665,40.74074074074074,59.25925925925925
rule_conclusion,0.8548206937095826,0.7571762182094433,0.8256798629407529,,4.62962962962963,96.29629629629629,74.07407407407408
simple,0.9016483516483517,0.8766185939311981,0.8030618154085599,,4.423076923076923,92.3076923076923,42.30769230769231
situational,0.9253330692546379,0.8759403030077616,0.7996742217629044,,4.444444444444445,88.88888888888889,70.37037037037037
vague,0.7096140557154202,0.27957361384674356,0.5776763690842522,,2.3703703703703702,11.11111111111111,0.0
Overall,0.8123863503766334,0.7244399953424261,0.7522390871023645,,4.081632653061225,77.89115646258503,41.49659863945578
