question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9297019448805164,0.8273075095244816,0.9010637594120843,,4.107142857142857,92.85714285714286,32.142857142857146
complex,0.9146329365079364,0.8526512756943703,0.765602952667645,,4.642857142857143,96.42857142857143,42.857142857142854
complex_situational,0.8188572806343019,0.7219510674476624,0.7577108911105565,,4.5,100.0,42.857142857142854
conversational,0.27680401057117304,0.3643444543299468,0.7296266957469608,,3.652173913043478,56.52173913043478,4.3478260869565215
distracting element,0.8579873836791173,0.8016423649258084,0.737436478888547,,4.2592592592592595,88.88888888888889,25.925925925925924
double,0.9272213549178432,0.7962181957868429,0.809929561156493,,3.9615384615384617,84.61538461538461,73.07692307692307
out of scope,,,0.5644496767609207,,3.5925925925925926,51.85185185185185,70.37037037037037
rule_conclusion,0.7728224148158789,0.6982512010468377,0.8098986391667966,,4.2592592592592595,88.88888888888889,48.148148148148145
simple,0.8836233211233211,0.8300345012774835,0.8137659407578982,,4.576923076923077,92.3076923076923,50.0
situational,0.8663137274248385,0.8524175396672001,0.7809030369476035,,4.185185185185185,74.07407407407408,48.148148148148145
vague,0.7233378761156538,0.2868460460945412,0.5776347109565029,,2.4814814814814814,25.925925925925924,0.0
Overall,0.805132180568549,0.7085139009166747,0.7502679544038513,,4.0272108843537415,77.89115646258503,40.136054421768705
