question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9533380018674136,0.8191161996551922,0.9004852601460048,,4.071428571428571,85.71428571428571,46.42857142857143
complex,0.9574900793650795,0.7795818394848278,0.7643555913652692,,4.714285714285714,100.0,50.0
complex_situational,0.8211697178871548,0.727696849831513,0.746383107134274,,4.428571428571429,96.42857142857143,42.857142857142854
conversational,0.3667921450530146,0.3769466825153517,0.7270628110222195,,3.5217391304347827,52.17391304347826,4.3478260869565215
distracting element,0.8448142311446405,0.6988893438268591,0.7324858042928908,,4.148148148148148,77.77777777777779,22.22222222222222
double,0.9446035801805033,0.8044149073270651,0.8150157355345212,,4.153846153846154,88.46153846153845,73.07692307692307
out of scope,,,0.5605128407478333,,3.5555555555555554,40.74074074074074,55.55555555555556
rule_conclusion,0.8035433702100369,0.7182546920246549,0.8279736704296536,,4.555555555555555,96.29629629629629,74.07407407407408
simple,0.9012043512043513,0.8486548387087308,0.8110674390426049,,4.5,92.3076923076923,46.15384615384615
situational,0.9691559469337248,0.8833747417838486,0.7973796681121543,,4.444444444444445,88.88888888888889,62.96296296296296
vague,0.641358024691358,0.23363509001555263,0.5476931730906168,,2.1481481481481484,7.4074074074074066,0.0
Overall,0.8273883760225814,0.6936734022942375,0.7486329838937643,,4.030612244897959,75.51020408163265,43.87755102040816
