question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9082398844190658,0.8332294268267495,0.9029734177248818,,4.071428571428571,85.71428571428571,42.857142857142854
complex,0.9068076252984086,0.826938414147922,0.7569682172366551,,4.75,100.0,32.142857142857146
complex_situational,0.87792825804104,0.7427038848400116,0.7505884830440793,,4.535714285714286,100.0,39.285714285714285
conversational,0.48011416924460404,0.36239372906477557,0.7513746360073918,,3.6956521739130435,60.86956521739131,8.695652173913043
distracting element,0.8297488973142568,0.774697482585907,0.7457343935966492,,4.37037037037037,85.18518518518519,22.22222222222222
double,0.935103237405869,0.787465398128216,0.8161938373859112,,4.1923076923076925,92.3076923076923,57.692307692307686
out of scope,,,0.5456430658146187,,3.4074074074074074,29.629629629629626,48.148148148148145
rule_conclusion,0.8567276405511699,0.7145120060002362,0.8245938265765155,,4.444444444444445,92.5925925925926,74.07407407407408
simple,0.8970742932281394,0.8401607733506423,0.8133722612491021,,4.538461538461538,100.0,42.30769230769231
situational,0.9498456790123456,0.8807593054241605,0.8054776765682079,,4.592592592592593,100.0,66.66666666666666
vague,0.7402047238648545,0.2671336321919053,0.5791731278101603,,2.4444444444444446,14.814814814814813,3.7037037037037033
Overall,0.8436284291625448,0.7083726968434866,0.7539522957031418,,4.1020408163265305,78.57142857142857,40.136054421768705
