question_type,RAGAS Context Recall,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Precision,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.7566666666666667,0.8717000777000777,0.8022520184516907,0.9444920634751474,0.9023230743408203,0.8402104385676988,3.96,80.0,20.0
complex,0.92,0.9365421245421246,0.8375128722190857,0.9257063491848784,0.8504000353813171,0.922844353465223,4.36,92.0,40.0
complex_situational,0.94,0.9197568600989654,0.8263353800773621,0.8733571428386152,0.8416024446487427,0.905453972495656,4.28,88.0,52.0
conversational,0.9,0.7325354497354497,0.47438025116920474,0.7667222221946467,0.8585899639129638,0.828032398903955,4.16,84.0,32.0
distracting element,0.96,0.9068595848595848,0.8514032793045044,0.9309206349007343,0.8582884049415589,0.9452367201562849,4.24,84.0,36.0
double,0.98,0.9534662004662005,0.7930006003379821,0.9522888888730106,0.8839127326011658,0.965945740794334,4.4,96.0,32.0
out of scope,,,,,0.6888491355237507,,3.8095238095238093,61.904761904761905,61.904761904761905
rule_conclusion,0.8541666666666666,0.9104780534008475,0.8399592315157255,0.9296246692938458,0.8990307400623957,0.8902996544651952,3.75,70.83333333333334,37.5
simple,0.8541666666666666,0.7585559116809116,0.8571677977840105,0.9404695766974912,0.8804540013273557,0.8952429957875336,4.041666666666667,83.33333333333334,25.0
situational,0.98,0.8537734487734489,0.8465955257415771,0.8910936507721057,0.8411682486534119,0.9334346010915151,4.24,88.0,56.00000000000001
vague,0.8453333333333333,0.8780606060606061,0.706928551197052,0.8552063491848654,0.8319827246665955,0.8502411808158863,3.92,72.0,36.0
Overall,0.8993951612903226,0.8724765079349743,0.7830292768776417,0.9007134856427104,0.8508555998811048,0.9000538407236829,4.111524163568773,82.15613382899627,38.66171003717472
