question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.8141605251166839,0.8062555619648525,0.8921559687171664,,3.9642857142857144,82.14285714285714,32.142857142857146
complex,0.7202653001760144,0.7030518012387412,0.7214764782360622,,4.0,75.0,17.857142857142858
complex_situational,0.7955764888247149,0.7897605214800153,0.7425062635115215,,4.464285714285714,100.0,32.142857142857146
conversational,0.24354269965388553,0.47692774948866473,0.7289867880551711,,3.652173913043478,60.86956521739131,4.3478260869565215
distracting element,0.7063732313732314,0.774276406676681,0.732257999755718,,4.148148148148148,85.18518518518519,29.629629629629626
double,0.8200709799647046,0.8464312782654395,0.7959040563840133,,4.0,84.61538461538461,53.84615384615385
out of scope,,,0.5402674388002466,,3.3703703703703702,37.03703703703704,44.44444444444444
rule_conclusion,0.6543884923571887,0.6746656210334213,0.7976622426951373,,4.185185185185185,81.48148148148148,51.85185185185185
simple,0.9028846153846154,0.7973220875630012,0.7795102733832139,,4.230769230769231,84.61538461538461,38.46153846153847
situational,0.7278600665855568,0.7449980157392996,0.7719385513552913,,3.962962962962963,70.37037037037037,22.22222222222222
vague,0.4399671316337983,0.20063791672388712,0.5150762387999782,,1.8888888888888888,14.814814814814813,0.0
Overall,0.6888025964758546,0.6843986196464367,0.7290606099326594,,3.8095238095238093,70.74829931972789,29.931972789115648
