question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",LABEL_0,42,0,1491,0,59,1533,59
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,LABEL_1,45,0,2712,0,274,2757,274
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",LABEL_1,24,0,2450,0,117,2474,117
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",LABEL_0,38,0,1774,0,77,1812,77
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",LABEL_0,37,0,1904,0,38,1941,38
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,LABEL_1,37,0,2396,0,223,2433,223
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,LABEL_1,43,0,3043,0,326,3086,326
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",LABEL_0,30,0,1416,0,54,1446,54
I need to know the effective date of this local law mentioned in Document 27.,LABEL_0,17,0,1530,0,31,1547,31
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",LABEL_0,32,0,1203,0,135,1235,135
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",LABEL_0,38,0,1985,0,256,2023,256
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,LABEL_1,27,0,2635,0,182,2662,182
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",LABEL_0,30,0,1763,0,188,1793,188
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,LABEL_1,40,0,2432,0,215,2472,215
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",LABEL_1,46,0,1968,0,211,2014,211
What information about bias audits of an AEDT must be publicly available before its use?,LABEL_0,18,0,1473,0,145,1491,145
I'm reviewing the regulations regarding Automated Employment Decision Tools (AEDTs) in New York City. Can you explain what a 'Bias Audit' entails in this context and who can conduct it?,LABEL_1,39,0,2534,0,283,2573,283
"Before using an AEDT, what information must an employer or employment agency make publicly available on their website?",LABEL_1,22,0,2048,0,146,2070,146
"I am an employer planning to use an AEDT for screening resumes and scheduling interviews. Can you explain the requirements for conducting a bias audit of the AEDT, including the calculation of impact ratio for different categories such as sex, race/ethnicity, and intersectional categories?",LABEL_2,57,0,2392,0,335,2449,335
I have been using an AEDT for 6 months and need to conduct a bias audit. Can I rely on my own historical data or do I need to provide data from other employers?,LABEL_1,39,0,2052,0,84,2091,84
"I'm considering using an AEDT for hiring and want to ensure compliance. Can you explain the requirements for a bias audit, including the calculation of impact ratios for different race/ethnicity and sex categories?",LABEL_1,42,0,2366,0,280,2408,280
I want to conduct a bias audit for an AEDT. What are the specific requirements for calculating the impact ratio for different race/ethnicity and sex categories?,LABEL_1,33,0,2366,0,270,2399,270
I'm reviewing a policy document and came across the term 'Impact Ratio'. Can you explain what it means and how it is calculated?,LABEL_1,27,0,2635,0,236,2662,236
"I want to conduct a bias audit for an AEDT. What are the requirements for calculating the impact ratio for sex, race/ethnicity, and intersectional categories? Are there any criteria for excluding certain categories from the calculations?",LABEL_1,47,0,2366,0,243,2413,243
"Why is a bias audit necessary for an AEDT, and what are the minimum requirements for conducting a bias audit?",LABEL_1,24,0,1978,0,232,2002,232
Where can a proceeding to recover a civil penalty be returnable to?,LABEL_1,14,0,2158,0,71,2172,71
What information does the bias audit summary need to include?,LABEL_0,11,0,1596,0,121,1607,121
Where can a proceeding to recover a civil penalty be returnable?,LABEL_1,13,0,2158,0,61,2171,61
What does 'simplified output' refer to?,LABEL_0,10,0,1665,0,162,1675,162
What is the effective date of this local law?,LABEL_0,10,0,1473,0,26,1483,26
What is the purpose of the AEDT in the bias audit?,LABEL_0,14,0,1185,0,118,1199,118
What is the definition of an automated employment decision tool?,LABEL_0,11,0,2214,0,107,2225,107
What must a bias audit of an AEDT calculate?,LABEL_0,12,0,1585,0,124,1597,124
What is the purpose of a bias audit for an AEDT?,LABEL_0,14,0,1075,0,128,1089,128
What are the options for an employer or employment agency to provide notice to a candidate for employment who resides in the city?,LABEL_1,24,0,2172,0,119,2196,119
What are the requirements for the published results of a bias audit?,LABEL_0,13,0,1200,0,233,1213,233
What is the definition of 'Bias audit'?,LABEL_0,9,0,1075,0,111,1084,111
What is the definition of an Automated Employment Decision Tool (AEDT)?,LABEL_0,15,0,1612,0,144,1627,144
What information must be publicly available before the use of an AEDT?,LABEL_0,15,0,1414,0,157,1429,157
What is the definition of 'Bias audit' in the context of automated employment decision tools?,LABEL_0,18,0,1585,0,130,1603,130
What are the calculations required in the bias audit for the impact ratio?,LABEL_1,14,0,2380,0,117,2394,117
What are the requirements for using an automated employment decision tool in the city?,LABEL_1,15,0,2592,0,209,2607,209
What is the criteria for excluding a category from the required calculations for impact ratio?,LABEL_1,16,0,2317,0,72,2333,72
What are the requirements for a bias audit of an AEDT?,LABEL_1,14,0,1978,0,186,1992,186
What is the purpose of the AEDT in conducting a bias audit?,LABEL_0,15,0,998,0,116,1013,116
