question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",LABEL_0,42,0,1858,62,76,1900,138
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,LABEL_1,45,0,3035,54,428,3080,482
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",LABEL_1,24,0,3048,47,106,3072,153
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",LABEL_0,38,0,1489,67,96,1527,163
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",LABEL_0,37,0,1653,55,40,1690,95
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,LABEL_1,37,0,2875,40,279,2912,319
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,LABEL_1,43,0,3043,41,441,3086,482
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",LABEL_0,30,0,1648,57,60,1678,117
I need to know the effective date of this local law mentioned in Document 27.,LABEL_0,17,0,1638,44,21,1655,65
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",LABEL_0,32,0,1763,69,130,1795,199
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",LABEL_0,38,0,1985,53,288,2023,341
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,LABEL_1,27,0,3036,39,243,3063,282
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",LABEL_0,30,0,2179,68,132,2209,200
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,LABEL_1,40,0,3035,36,208,3075,244
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",LABEL_1,46,0,2423,60,194,2469,254
What information about bias audits of an AEDT must be publicly available before its use?,LABEL_0,18,0,1768,51,141,1786,192
I'm reviewing the regulations regarding Automated Employment Decision Tools (AEDTs) in New York City. Can you explain what a 'Bias Audit' entails in this context and who can conduct it?,LABEL_1,39,0,2851,66,234,2890,300
"Before using an AEDT, what information must an employer or employment agency make publicly available on their website?",LABEL_1,22,0,2535,38,148,2557,186
"I am an employer planning to use an AEDT for screening resumes and scheduling interviews. Can you explain the requirements for conducting a bias audit of the AEDT, including the calculation of impact ratio for different categories such as sex, race/ethnicity, and intersectional categories?",LABEL_2,57,0,2339,84,468,2396,552
I have been using an AEDT for 6 months and need to conduct a bias audit. Can I rely on my own historical data or do I need to provide data from other employers?,LABEL_1,39,0,2423,52,131,2462,183
"I'm considering using an AEDT for hiring and want to ensure compliance. Can you explain the requirements for a bias audit, including the calculation of impact ratios for different race/ethnicity and sex categories?",LABEL_1,42,0,2716,34,306,2758,340
I want to conduct a bias audit for an AEDT. What are the specific requirements for calculating the impact ratio for different race/ethnicity and sex categories?,LABEL_1,33,0,2628,49,267,2661,316
I'm reviewing a policy document and came across the term 'Impact Ratio'. Can you explain what it means and how it is calculated?,LABEL_1,27,0,3036,30,228,3063,258
"I want to conduct a bias audit for an AEDT. What are the requirements for calculating the impact ratio for sex, race/ethnicity, and intersectional categories? Are there any criteria for excluding certain categories from the calculations?",LABEL_1,47,0,2628,52,226,2675,278
"Why is a bias audit necessary for an AEDT, and what are the minimum requirements for conducting a bias audit?",LABEL_1,24,0,2365,36,299,2389,335
Where can a proceeding to recover a civil penalty be returnable to?,LABEL_1,14,0,2325,58,66,2339,124
What information does the bias audit summary need to include?,LABEL_0,11,0,1748,27,108,1759,135
Where can a proceeding to recover a civil penalty be returnable?,LABEL_1,13,0,2289,46,68,2302,114
What does 'simplified output' refer to?,LABEL_0,10,0,2133,34,62,2143,96
What is the effective date of this local law?,LABEL_0,10,0,1648,45,22,1658,67
What is the purpose of the AEDT in the bias audit?,LABEL_0,14,0,1471,38,94,1485,132
What is the definition of an automated employment decision tool?,LABEL_0,11,0,2214,34,74,2225,108
What must a bias audit of an AEDT calculate?,LABEL_0,12,0,1598,37,156,1610,193
What is the purpose of a bias audit for an AEDT?,LABEL_0,14,0,1410,51,70,1424,121
What are the options for an employer or employment agency to provide notice to a candidate for employment who resides in the city?,LABEL_1,24,0,2491,74,132,2515,206
What are the requirements for the published results of a bias audit?,LABEL_0,13,0,1618,34,140,1631,174
What is the definition of 'Bias audit'?,LABEL_0,9,0,1433,21,58,1442,79
What is the definition of an Automated Employment Decision Tool (AEDT)?,LABEL_0,15,0,1985,46,76,2000,122
What information must be publicly available before the use of an AEDT?,LABEL_0,15,0,1798,43,134,1813,177
What is the definition of 'Bias audit' in the context of automated employment decision tools?,LABEL_0,18,0,2228,38,127,2246,165
What are the calculations required in the bias audit for the impact ratio?,LABEL_1,14,0,2839,53,276,2853,329
What are the requirements for using an automated employment decision tool in the city?,LABEL_1,15,0,2875,36,335,2890,371
What is the criteria for excluding a category from the required calculations for impact ratio?,LABEL_1,16,0,2743,30,78,2759,108
What are the requirements for a bias audit of an AEDT?,LABEL_1,14,0,2365,44,306,2379,350
What is the purpose of the AEDT in conducting a bias audit?,LABEL_0,15,0,1601,34,142,1616,176
What is the definition of 'automated employment decision tool'?,LABEL_0,12,0,1985,44,144,1997,188
What is the purpose of a bias audit for automated employment decision tools?,LABEL_0,14,0,1985,33,159,1999,192
