question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9164311179017062,0.8491107140268598,0.9059501545769828,,4.071428571428571,89.28571428571429,53.57142857142857
complex,0.9435889507318079,0.8510362484625408,0.7621078704084668,,4.678571428571429,100.0,28.57142857142857
complex_situational,0.8192703644456187,0.7681151862655368,0.7546737343072891,,4.428571428571429,96.42857142857143,39.285714285714285
conversational,0.285300676310686,0.46121433247690613,0.724687678658444,,3.5652173913043477,47.82608695652174,4.3478260869565215
distracting element,0.7868546328685647,0.7623842314437583,0.7416284216774834,,4.296296296296297,85.18518518518519,11.11111111111111
double,0.9753016591251886,0.8802066697524145,0.8093552658191094,,4.153846153846154,88.46153846153845,65.38461538461539
out of scope,,,0.5404047634866502,,3.2962962962962963,33.33333333333333,40.74074074074074
rule_conclusion,0.7834233667567001,0.7330114090884173,0.8253187868330214,,4.444444444444445,96.29629629629629,81.48148148148148
simple,0.9351784476784477,0.9282895968510554,0.8202226574604328,,4.6923076923076925,100.0,46.15384615384615
situational,0.8979904344828092,0.8358554553102564,0.7993476545369184,,4.296296296296297,85.18518518518519,44.44444444444444
vague,0.671838757949869,0.290930414641345,0.5586083111939607,,2.3703703703703702,18.51851851851852,0.0
Overall,0.809128931250264,0.7398467173290609,0.7497845108614487,,4.034013605442177,76.87074829931973,38.095238095238095
