question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",,42,0,2805,62,70,2847,132
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,,45,0,3035,54,428,3080,482
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",,24,0,3048,47,106,3072,153
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",,38,0,2423,67,77,2461,144
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",,37,0,2588,55,70,2625,125
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,,37,0,2875,40,279,2912,319
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,,43,0,3043,41,441,3086,482
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",,30,0,2368,57,60,2398,117
I need to know the effective date of this local law mentioned in Document 27.,,17,0,2586,44,31,2603,75
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",,32,0,2791,69,195,2823,264
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",,38,0,2735,53,252,2773,305
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,,27,0,3036,39,228,3063,267
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",,30,0,3049,68,83,3079,151
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,,40,0,3035,36,208,3075,244
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",,46,0,2423,60,180,2469,240
What information about bias audits of an AEDT must be publicly available before its use?,,18,0,2423,51,141,2441,192
I'm reviewing the regulations regarding Automated Employment Decision Tools (AEDTs) in New York City. Can you explain what a 'Bias Audit' entails in this context and who can conduct it?,,39,0,2851,66,234,2890,300
"Before using an AEDT, what information must an employer or employment agency make publicly available on their website?",,22,0,2535,38,148,2557,186
"I am an employer planning to use an AEDT for screening resumes and scheduling interviews. Can you explain the requirements for conducting a bias audit of the AEDT, including the calculation of impact ratio for different categories such as sex, race/ethnicity, and intersectional categories?",,57,0,2339,84,430,2396,514
I have been using an AEDT for 6 months and need to conduct a bias audit. Can I rely on my own historical data or do I need to provide data from other employers?,,39,0,2423,51,131,2462,182
"I'm considering using an AEDT for hiring and want to ensure compliance. Can you explain the requirements for a bias audit, including the calculation of impact ratios for different race/ethnicity and sex categories?",,42,0,2716,34,306,2758,340
I want to conduct a bias audit for an AEDT. What are the specific requirements for calculating the impact ratio for different race/ethnicity and sex categories?,,33,0,2628,49,267,2661,316
I'm reviewing a policy document and came across the term 'Impact Ratio'. Can you explain what it means and how it is calculated?,,27,0,3036,30,228,3063,258
"I want to conduct a bias audit for an AEDT. What are the requirements for calculating the impact ratio for sex, race/ethnicity, and intersectional categories? Are there any criteria for excluding certain categories from the calculations?",,47,0,2628,52,226,2675,278
"Why is a bias audit necessary for an AEDT, and what are the minimum requirements for conducting a bias audit?",,24,0,2365,36,298,2389,334
Where can a proceeding to recover a civil penalty be returnable to?,,14,0,2325,58,66,2339,124
What information does the bias audit summary need to include?,,11,0,2154,27,185,2165,212
Where can a proceeding to recover a civil penalty be returnable?,,13,0,2289,46,68,2302,114
What does 'simplified output' refer to?,,10,0,2392,34,91,2402,125
What is the effective date of this local law?,,10,0,2555,45,20,2565,65
What is the purpose of the AEDT in the bias audit?,,14,0,2185,38,126,2199,164
What is the definition of an automated employment decision tool?,,11,0,2746,34,137,2757,171
What must a bias audit of an AEDT calculate?,,12,0,2290,37,147,2302,184
What is the purpose of a bias audit for an AEDT?,,14,0,2365,51,136,2379,187
What are the options for an employer or employment agency to provide notice to a candidate for employment who resides in the city?,,24,0,2491,74,132,2515,206
What are the requirements for the published results of a bias audit?,,13,0,2685,34,235,2698,269
What is the definition of 'Bias audit'?,,9,0,2273,21,110,2282,131
What is the definition of an Automated Employment Decision Tool (AEDT)?,,15,0,2722,46,133,2737,179
What information must be publicly available before the use of an AEDT?,,15,0,2635,43,132,2650,175
What is the definition of 'Bias audit' in the context of automated employment decision tools?,,18,0,2735,38,131,2753,169
What are the calculations required in the bias audit for the impact ratio?,,14,0,2839,53,276,2853,329
What are the requirements for using an automated employment decision tool in the city?,,15,0,2875,36,335,2890,371
What is the criteria for excluding a category from the required calculations for impact ratio?,,16,0,2743,30,78,2759,108
What are the requirements for a bias audit of an AEDT?,,14,0,2365,44,306,2379,350
What is the purpose of the AEDT in conducting a bias audit?,,15,0,2365,34,128,2380,162
What is the definition of 'automated employment decision tool'?,,12,0,2746,44,135,2758,179
What is the purpose of a bias audit for automated employment decision tools?,,14,0,2845,33,182,2859,215
What are the requirements for the published results of the bias audit?,,13,0,2458,38,226,2471,264
Where can a proceeding to recover a civil penalty authorized by this subchapter be returnable to?,,19,0,2325,54,60,2344,114
In which tribunals or agencies can a proceeding to recover a civil penalty be filed according to the subchapter?,,23,0,2330,64,54,2353,118
"What are the specific calculations and requirements for conducting a bias audit of an AEDT, including the categories that need to be considered and the conditions under which historical data or test data can be used?",,40,0,2339,62,395,2379,457
What is the definition of 'Impact Ratio' and how is it calculated in relation to the selection rate or scoring rate of different categories?,,27,0,2753,26,132,2780,158
When does this local law come into effect?,,9,0,2586,32,21,2595,53
What is the difference between historical data and test data in the context of conducting a bias audit for an AEDT?,,24,0,2931,60,169,2955,229
What are the requirements for conducting a bias audit for an AEDT? Can an employer or employment agency use test data for the bias audit if there is insufficient historical data available?,,36,0,2712,49,342,2748,391
"According to the document, what is the definition of 'Candidate for Employment'?",,15,0,2614,38,75,2629,113
Can you explain the meaning of 'Bias Audit' as defined by § 20-870 of the Code?,,22,0,2177,40,194,2199,234
