question,classification,question_tokens,history_tokens,retrieved_nodes_tokens,generated_queries_tokens,output_tokens,total_input_tokens,total_output_tokens
"As an employer, I need to understand the definition of 'Candidate for Employment' as stated in the legal documents. Can you provide me with the specific criteria that determine whether someone is considered a candidate for employment?",LABEL_0,42,0,1429,62,79,1471,141
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Can you explain the definition of an automated employment decision tool and the conditions that need to be met before using it?,LABEL_1,45,0,2656,54,469,2701,523
"In the context of a bias audit, what is the definition of 'test data' and when can it be used?",LABEL_1,24,0,2691,47,129,2715,176
"As an employer conducting a bias audit, I want to know the threshold for excluding a category from impact ratio calculations. Can you clarify what percentage of data a category must represent to be excluded?",LABEL_0,38,0,1362,67,83,1400,150
"I need to know the effective date of Local Law 27 (File #: Int 1894-2020, Version: A). Can you confirm when this law will take effect?",LABEL_0,37,0,1324,55,39,1361,94
I want to understand what an automated employment decision tool is and how it impacts employment decisions. Can you provide a simplified definition and explain the requirements for using such a tool in the city?,LABEL_1,37,0,2477,40,238,2514,278
I'm an employer in New York City and want to understand the requirements for using an automated employment decision tool. Could you explain what constitutes an automated employment decision tool and the conditions that must be met for its use?,LABEL_1,43,0,3043,41,464,3086,505
"If I need to initiate a proceeding to recover a civil penalty authorized by this subchapter, which tribunals or agencies can I return it to?",LABEL_0,30,0,1466,57,54,1496,111
I need to know the effective date of this local law mentioned in Document 27.,LABEL_0,17,0,1638,44,31,1655,75
"As an employer or employment agency in the city, what are the acceptable methods to provide notice to a candidate for employment about the use of an AEDT?",LABEL_0,32,0,1735,69,130,1767,199
"As an employer in New York City, I want to understand the purpose of a bias audit for automated employment decision tools. Can you explain what a bias audit entails and why it is required?",LABEL_0,38,0,1627,53,284,1665,337
I'm reviewing a policy document and came across the term 'Impact Ratio.' Can you explain what it means and how it is calculated?,LABEL_1,27,0,2534,39,225,2561,264
"As a Native Hawaiian or Pacific Islander applicant, what is the scoring rate for me in the intersectional categories compared to other racial/ethnic groups?",LABEL_0,30,0,1763,68,229,1793,297
I'm trying to understand the definition of 'Automated Employment Decision Tool' according to the New York City Administrative Code. Can you explain what it means and provide examples of how it can be used?,LABEL_1,40,0,2477,36,190,2517,226
"In the bias audit calculations, what is the minimum percentage of data that can be excluded from the calculations? Can you provide an example of a category that can be excluded and the information that should be included in the summary of results?",LABEL_1,46,0,2046,60,179,2092,239
What information about bias audits of an AEDT must be publicly available before its use?,LABEL_0,18,0,1768,51,144,1786,195
I'm reviewing the regulations regarding Automated Employment Decision Tools (AEDTs) in New York City. Can you explain what a 'Bias Audit' entails in this context and who can conduct it?,LABEL_1,39,0,2429,66,301,2468,367
"Before using an AEDT, what information must an employer or employment agency make publicly available on their website?",LABEL_1,22,0,2389,38,146,2411,184
"I am an employer planning to use an AEDT for screening resumes and scheduling interviews. Can you explain the requirements for conducting a bias audit of the AEDT, including the calculation of impact ratio for different categories such as sex, race/ethnicity, and intersectional categories?",LABEL_2,57,0,1994,84,362,2051,446
I have been using an AEDT for 6 months and need to conduct a bias audit. Can I rely on my own historical data or do I need to provide data from other employers?,LABEL_1,39,0,2388,51,70,2427,121
"I'm considering using an AEDT for hiring and want to ensure compliance. Can you explain the requirements for a bias audit, including the calculation of impact ratios for different race/ethnicity and sex categories?",LABEL_1,42,0,2309,34,396,2351,430
I want to conduct a bias audit for an AEDT. What are the specific requirements for calculating the impact ratio for different race/ethnicity and sex categories?,LABEL_1,33,0,2251,49,301,2284,350
I'm reviewing a policy document and came across the term 'Impact Ratio'. Can you explain what it means and how it is calculated?,LABEL_1,27,0,2544,30,309,2571,339
"I want to conduct a bias audit for an AEDT. What are the requirements for calculating the impact ratio for sex, race/ethnicity, and intersectional categories? Are there any criteria for excluding certain categories from the calculations?",LABEL_1,47,0,2251,52,151,2298,203
"Why is a bias audit necessary for an AEDT, and what are the minimum requirements for conducting a bias audit?",LABEL_1,24,0,1902,36,358,1926,394
Where can a proceeding to recover a civil penalty be returnable to?,LABEL_1,14,0,1976,58,68,1990,126
What information does the bias audit summary need to include?,LABEL_0,11,0,1428,27,83,1439,110
Where can a proceeding to recover a civil penalty be returnable?,LABEL_1,13,0,1976,46,47,1989,93
What does 'simplified output' refer to?,LABEL_0,10,0,1433,34,162,1443,196
What is the effective date of this local law?,LABEL_0,10,0,1324,45,26,1334,71
What is the purpose of the AEDT in the bias audit?,LABEL_0,14,0,1259,38,128,1273,166
What is the definition of an automated employment decision tool?,LABEL_0,11,0,1841,34,107,1852,141
What must a bias audit of an AEDT calculate?,LABEL_0,12,0,1259,37,69,1271,106
What is the purpose of a bias audit for an AEDT?,LABEL_0,14,0,1411,51,100,1425,151
What are the options for an employer or employment agency to provide notice to a candidate for employment who resides in the city?,LABEL_1,24,0,2172,74,129,2196,203
What are the requirements for the published results of a bias audit?,LABEL_0,13,0,1616,34,227,1629,261
What is the definition of 'Bias audit'?,LABEL_0,9,0,998,21,140,1007,161
What is the definition of an Automated Employment Decision Tool (AEDT)?,LABEL_0,15,0,1817,46,118,1832,164
What information must be publicly available before the use of an AEDT?,LABEL_0,15,0,1642,43,130,1657,173
What is the definition of 'Bias audit' in the context of automated employment decision tools?,LABEL_0,18,0,1538,38,96,1556,134
What are the calculations required in the bias audit for the impact ratio?,LABEL_1,14,0,2074,53,73,2088,126
What are the requirements for using an automated employment decision tool in the city?,LABEL_1,15,0,2477,36,342,2492,378
What is the criteria for excluding a category from the required calculations for impact ratio?,LABEL_1,16,0,2637,30,83,2653,113
What are the requirements for a bias audit of an AEDT?,LABEL_1,14,0,1872,44,336,1886,380
What is the purpose of the AEDT in conducting a bias audit?,LABEL_0,15,0,1201,34,112,1216,146
What is the definition of 'automated employment decision tool'?,LABEL_0,12,0,1841,44,143,1853,187
What is the purpose of a bias audit for automated employment decision tools?,LABEL_0,14,0,1581,33,129,1595,162
What are the requirements for the published results of the bias audit?,LABEL_1,13,0,2200,38,227,2213,265
Where can a proceeding to recover a civil penalty authorized by this subchapter be returnable to?,LABEL_1,19,0,2325,54,46,2344,100
In which tribunals or agencies can a proceeding to recover a civil penalty be filed according to the subchapter?,LABEL_0,23,0,1403,64,58,1426,122
