question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,correctness_method2,correctness_method2_mapped,correctness,RAGAS Context F1 Score
compare,0.9035290102054807,0.7599489593505859,0.8949131417274475,4.08,84.0,32.0,
complex,0.9524675324675325,0.896360969543457,0.8688036727905274,4.56,92.0,40.0,
complex_situational,0.8177094158546271,0.7896481823921203,0.8335731053352355,4.24,88.0,52.0,
conversational,0.7081274281274281,0.43679856300354003,0.8776076412200928,4.24,76.0,28.000000000000004,
distracting element,0.8413333333333334,0.8736694169044494,0.8710619640350342,4.24,72.0,40.0,
double,0.9458646616541354,0.8301740550994873,0.8942023539543151,4.28,88.0,40.0,
out of scope,,,0.672628158614749,3.7142857142857144,52.38095238095239,61.904761904761905,
rule_conclusion,0.8854166666666666,0.9079309403896332,0.8978947227199873,4.041666666666667,79.16666666666666,25.0,
simple,0.7438090266215266,0.8588506057858467,0.8915073101719221,4.166666666666667,79.16666666666666,45.83333333333333,
situational,0.8784744769119769,0.7695060801506043,0.8397191190719604,4.16,88.0,52.0,
vague,0.872040404040404,0.6933472907543182,0.8328234958648681,3.84,72.0,32.0,
Overall,0.8551076871533506,0.7808028025732886,0.8546039125290059,4.148698884758364,79.5539033457249,40.520446096654275,
