question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,correctness_method2,correctness_method2_mapped,correctness,RAGAS Context F1 Score
compare,0.9328263305322129,0.8205205535888672,0.9009732723236084,4.0,80.0,24.0,
complex,0.9529410981175687,0.9078666305541992,0.8617017364501953,4.36,88.0,48.0,
complex_situational,0.8448128929893636,0.7814657020568848,0.838741238117218,4.16,88.0,52.0,
conversational,0.7545714285714286,0.4505859386920929,0.8793081784248352,4.24,76.0,36.0,
distracting element,0.85008658008658,0.8562077474594116,0.8633317756652832,4.2,76.0,36.0,
double,0.8851190476190476,0.8267847299575806,0.8970718383789062,4.28,88.0,24.0,
out of scope,,,0.6751649436496553,3.8095238095238093,57.14285714285714,71.42857142857143,
rule_conclusion,0.9080838143338142,0.8687557528416315,0.9049855569998423,4.166666666666667,83.33333333333334,41.66666666666667,
simple,0.901237073112073,0.8313478951652845,0.8818593323230743,4.208333333333333,87.5,29.166666666666668,
situational,0.8134716526163895,0.8441429591178894,0.8522293996810913,4.4,92.0,60.0,
vague,0.9484382284382284,0.6957206344604492,0.8472735834121704,4.0,76.0,28.000000000000004,
Overall,0.8792182636451635,0.7878421772151224,0.8571692071439608,4.171003717472119,81.41263940520446,40.520446096654275,
