question_type,RAGAS Context Recall,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Precision,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.7893333333333333,0.9209582289055973,0.7956358528137207,0.8735714285571078,0.8933881878852844,0.8293187480248173,4.2,84.0,40.0
complex,1.0,0.9079668869142553,0.888605592250824,0.8137730158543957,0.8638159251213073,0.8973261910295427,4.44,92.0,48.0
complex_situational,0.96,0.8807185968486279,0.8323788475990296,0.8132079364860961,0.8406668710708618,0.8805280000874547,4.4,92.0,52.0
conversational,0.802,0.6442118326118326,0.43325968861579894,0.5314920634737601,0.8757049512863159,0.6393088441719748,4.32,80.0,32.0
distracting element,0.96,0.8853968253968254,0.8411780142784119,0.8239603174426192,0.8590836477279663,0.8867931612726098,4.28,76.0,36.0
double,1.0,0.9435540903540904,0.8051782512664795,0.9105650793508765,0.8904516434669495,0.9531892833090462,4.4,88.0,28.000000000000004
out of scope,,,,,0.6731565154734112,,3.619047619047619,47.61904761904761,71.42857142857143
rule_conclusion,0.9166666666666666,0.9328258547008547,0.8519026214877764,0.8658134920480971,0.9034052466352781,0.8905146728623521,4.041666666666667,79.16666666666666,41.66666666666667
simple,0.8958333333333334,0.8217083842083842,0.8591459318995476,0.8355340608284471,0.8759819020827612,0.8646336593255071,4.166666666666667,79.16666666666666,33.33333333333333
situational,0.98,0.8305194805194804,0.8063658952713013,0.864903174584838,0.8368995499610901,0.9188613503078602,4.2,84.0,56.00000000000001
vague,0.8426666666666667,0.8927272727272727,0.6721295237541198,0.7325603174416684,0.8250558257102967,0.7837653456403605,3.84,76.0,36.0
Overall,0.9147177419354838,0.8659683552047228,0.77795748761104,0.8061821556404076,0.8511830611521427,0.8570273285910913,4.182156133828996,80.29739776951673,42.75092936802974
