question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,correctness_method2,correctness_method2_mapped,correctness,RAGAS Context F1 Score
compare,0.8875084033613446,0.7958427929878235,0.8875156068801879,4.04,76.0,16.0,
complex,0.9206926406926407,0.8590141034126282,0.8609746074676514,4.4,88.0,36.0,
complex_situational,0.8634369666707262,0.8225632619857788,0.8397761464118958,4.36,92.0,48.0,
conversational,0.502008214008214,0.4064254593849182,0.8322278547286988,3.68,56.00000000000001,4.0,
distracting element,0.8511019536019536,0.772265887260437,0.840353651046753,4.2,80.0,40.0,
double,0.9275362123256861,0.8214216709136963,0.8874510717391968,4.32,96.0,32.0,
out of scope,,,0.687735705148606,3.8095238095238093,57.14285714285714,66.66666666666666,
rule_conclusion,0.8790674603174603,0.8739895274241766,0.8955793529748917,4.0,75.0,37.5,
simple,0.9014159451659451,0.8604992479085922,0.8820488850275675,4.375,83.33333333333334,37.5,
situational,0.8347942612942613,0.839000461101532,0.8401283550262452,4.4,92.0,48.0,
vague,0.9009523809523811,0.6907572472095489,0.8326406180858612,3.84,72.0,36.0,
Overall,0.8465015223962982,0.773427430299982,0.846216450947368,4.133828996282528,79.182156133829,36.059479553903344,
