question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,correctness_method2,correctness_method2_mapped,correctness,RAGAS Context F1 Score
compare,0.9496707410236822,0.7992328429222106,0.8919410562515259,4.08,84.0,32.0,
complex,0.9393593073593074,0.8987602710723877,0.8667789459228515,4.4,88.0,40.0,
complex_situational,0.8701809425524596,0.8213066005706787,0.8479786491394044,4.44,96.0,48.0,
conversational,0.5267444817189063,0.4279231572151184,0.849732575416565,3.84,72.0,12.0,
distracting element,0.9093477633477633,0.8388731503486633,0.8441597211360932,4.24,84.0,36.0,
double,0.9177532467532467,0.7960541105270386,0.8982628512382508,4.36,96.0,36.0,
out of scope,,,0.6855895973387218,3.619047619047619,61.904761904761905,66.66666666666666,
rule_conclusion,0.8975208818958819,0.8821062271793684,0.9051782290140787,4.291666666666667,79.16666666666666,54.166666666666664,
simple,0.9443091630591631,0.8729984983801842,0.8999531492590904,4.333333333333333,87.5,41.66666666666667,
situational,0.8674358974358973,0.8402047801017761,0.8557738900184632,4.32,92.0,56.00000000000001,
vague,0.8712390942390943,0.6832157337665558,0.8359359812736511,4.04,80.0,40.0,
Overall,0.8689403545954839,0.7853297563570161,0.8549614363665031,4.185873605947956,84.01486988847584,41.63568773234201,
