question_type,RAGAS Context Recall,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Precision,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.7866666666666667,0.8949910873440285,0.7127834582328796,0.932617460301072,0.8869759869575501,0.8534471496158277,3.96,76.0,32.0
complex,0.93,0.8505268065268065,0.8444543647766113,0.8834999999811225,0.8486968946456909,0.9061538461439171,4.2,84.0,40.0
complex_situational,0.96,0.8757664501985927,0.7845360112190246,0.8063888888729253,0.8401170659065247,0.8765151753326046,4.36,88.0,44.0
conversational,0.81,0.7422467532467533,0.4766120576858521,0.729158730132542,0.8623831391334533,0.7674563511152602,4.16,84.0,32.0
distracting element,0.98,0.9038730158730159,0.8947247719764709,0.9495714285514388,0.8547512340545654,0.9645457910609837,4.36,84.0,28.000000000000004
double,0.96,0.9377867162675346,0.7632264232635498,0.9570079364919409,0.8873378777503967,0.9585016332415436,4.32,96.0,20.0
out of scope,,,,,0.678876382963998,,3.8095238095238093,57.14285714285714,66.66666666666666
rule_conclusion,0.84375,0.8504218004218004,0.8185321241617203,0.914879298925368,0.8940546537439028,0.8778762061339206,3.8333333333333335,79.16666666666666,45.83333333333333
simple,0.8680555555555555,0.8760683760683761,0.8379387905200323,0.9116220237889135,0.8729205702741941,0.8893055365773038,4.0,75.0,33.33333333333333
situational,0.98,0.9107258852258852,0.8642300534248352,0.9290984126789776,0.8337573504447937,0.953870621208782,4.36,92.0,48.0
vague,0.88,0.8896825396825396,0.64350750207901,0.8349206349007037,0.8222221064567566,0.856867826720344,3.92,76.0,32.0
Overall,0.9002016129032258,0.8732892967536015,0.7635369678178141,0.884647657431092,0.8459845754736861,0.8923568631891969,4.122676579925651,81.41263940520446,37.9182156133829
