question_type,RAGAS Context Recall,RAGAS Faithfulness,RAGAS Answer Relevancy,RAGAS Context Precision,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.8166666666666668,0.8927186906660591,0.7891488361358643,0.8914587301424669,0.8910086464881897,0.8524252739012436,4.08,88.0,32.0
complex,0.96,0.9056258945732629,0.8439471697807313,0.8709761904574485,0.8459635305404664,0.9133238839443906,4.28,84.0,28.000000000000004
complex_situational,0.96,0.8771372549019608,0.799689176082611,0.8868428571209275,0.8445391917228698,0.9219724781168477,4.36,92.0,48.0
conversational,0.77,0.5602049062049062,0.42253062725067136,0.7347142856871013,0.8477466106414795,0.7519434159166467,3.88,64.0,16.0
distracting element,0.9586666666666668,0.916439416792358,0.8618233251571655,0.9142015872821748,0.8696148419380187,0.9359062886493009,4.12,84.0,44.0
double,0.98,0.8934109983583667,0.8022090244293213,0.9281111110955681,0.8857644438743592,0.9533500261957247,4.16,88.0,28.000000000000004
out of scope,,,,,0.679908968153454,,3.619047619047619,61.904761904761905,61.904761904761905
rule_conclusion,0.875,0.8439532689532689,0.8508417954047521,0.8912797618867914,0.9097003564238548,0.88306485583899,3.7916666666666665,62.5,29.166666666666668
simple,0.8472222222222222,0.8626756345506346,0.8405044575532278,0.8852099867510207,0.8744252249598503,0.865799617698157,4.0,79.16666666666666,25.0
situational,0.96,0.8590079365079365,0.8198924160003662,0.8965428571213893,0.8473704648017883,0.9271869373067303,4.16,84.0,48.0
vague,0.8420000000000001,0.8246029526029526,0.67920485496521,0.8525507936285583,0.829044234752655,0.8472425505736676,3.8,68.0,28.000000000000004
Overall,0.897244623655914,0.8434991731826159,0.7703767976453227,0.8750835253253967,0.8499011204588369,0.8860255238843533,4.029739776951673,78.06691449814126,34.94423791821561
