question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.9064955658376711,0.7863090062141418,0.8880891752243042,,4.0,80.0,24.0
complex,0.9858119658119658,0.867924976348877,0.8767896485328674,,4.56,100.0,44.0
complex_situational,0.843015873015873,0.8223104500770568,0.8521224880218505,,4.48,88.0,52.0
conversational,0.8421587301587301,0.43666961312294006,0.8907238459587097,,4.28,76.0,32.0
distracting element,0.9013328893328894,0.8447261953353882,0.8691735982894897,,4.4,88.0,48.0
double,0.9239148629148629,0.845190212726593,0.9034644937515259,,4.2,84.0,16.0
out of scope,,,0.6906751905168805,,3.7142857142857144,57.14285714285714,71.42857142857143
rule_conclusion,0.9279296726665147,0.8902155086398125,0.8966661418477694,,4.166666666666667,75.0,41.66666666666667
simple,0.904050925925926,0.8854813153545061,0.9006259565552076,,4.208333333333333,83.33333333333334,41.66666666666667
situational,0.9306666666666666,0.8068248891830444,0.844180326461792,,4.32,84.0,48.0
vague,0.934000999000999,0.7244633936882019,0.8455283761024475,,4.16,80.0,44.0
Overall,0.9098890047770566,0.7902306136825392,0.8620482831639428,,4.234200743494424,81.78438661710037,41.63568773234201
