question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.8929277069679546,0.9110098672764642,0.9109117601599012,,4.464285714285714,96.42857142857143,28.57142857142857
complex,0.8667729775242091,0.9143255140100207,0.7563084661960602,,4.892857142857143,100.0,10.714285714285714
complex_situational,0.7246728366524872,0.8581401130982808,0.7278768058334079,,4.75,100.0,14.285714285714285
conversational,0.4512273141504114,0.48888717786125513,0.7358475482982137,,3.652173913043478,60.86956521739131,4.3478260869565215
distracting element,0.7960618356283695,0.8685571992838824,0.7335738120255647,,4.666666666666667,100.0,11.11111111111111
double,0.930501549732319,0.9213836651581985,0.8196619817843804,,4.384615384615385,92.3076923076923,42.30769230769231
out of scope,,,0.5467638340261247,,3.5555555555555554,59.25925925925925,37.03703703703704
rule_conclusion,0.7251887972390209,0.8669631834383364,0.8282903852286162,,4.62962962962963,92.5925925925926,48.148148148148145
simple,0.9560641564318034,0.9630868159807645,0.8086947798728943,,4.461538461538462,96.15384615384616,26.923076923076923
situational,0.835936736345233,0.865101553775646,0.7986516577226145,,4.592592592592593,96.29629629629629,44.44444444444444
vague,0.8397707231040564,0.46560171246528625,0.5949089604395407,,2.7037037037037037,25.925925925925924,0.0
Overall,0.8064017365929859,0.8171010860119866,0.7513046933680164,,4.261904761904762,84.01360544217688,24.489795918367346
