question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.499146926119768,0.8738927245140076,0.8717385487897056,,4.107142857142857,82.14285714285714,7.142857142857142
complex,0.3083408897978474,0.9149604482310159,0.7131612407309669,,4.285714285714286,96.42857142857143,3.571428571428571
complex_situational,0.29452024176265923,0.8204504379204342,0.6880839403186526,,4.285714285714286,85.71428571428571,0.0
conversational,0.10294717359934749,0.47281085408252216,0.7039039627365444,,3.5217391304347827,47.82608695652174,0.0
distracting element,0.24142779389768385,0.8196705027862832,0.6830542286237081,,4.222222222222222,81.48148148148148,3.7037037037037033
double,0.4003566651671957,0.7696440265728877,0.780269973553144,,3.8461538461538463,73.07692307692307,3.8461538461538463
out of scope,,,0.5006160095885948,,3.4074074074074074,40.74074074074074,7.4074074074074066
rule_conclusion,0.48275237129991944,0.7921964084660565,0.7838694387012057,,4.111111111111111,85.18518518518519,29.629629629629626
simple,0.25077302150714964,0.8001938278858478,0.7160474417301325,,3.4615384615384617,46.15384615384615,0.0
situational,0.3477196221764298,0.7266722674723025,0.7307742922394364,,4.074074074074074,81.48148148148148,3.7037037037037033
vague,0.07021326289300145,0.08989777167638142,0.4700835910108354,,1.5185185185185186,0.0,0.0
Overall,0.3033349618673244,0.7128042420197962,0.69484463435452,,3.7210884353741496,65.98639455782312,5.442176870748299
