question_type,RAGAS Faithfulness,RAGAS Answer Relevancy,answer similarity,RAGAS Context F1 Score,correctness_method2,correctness_method2_mapped,correctness
compare,0.29117167983529185,0.7914804305349078,0.8804698224578585,,3.357142857142857,42.857142857142854,0.0
complex,0.2650265497086233,0.5576874911785126,0.7165964022278786,,3.4642857142857144,57.14285714285714,3.571428571428571
complex_situational,0.3232116920747927,0.2643070029360907,0.6945885675294059,,3.2857142857142856,35.714285714285715,0.0
conversational,0.05147250092902267,0.4413552932117296,0.6945621449014415,,3.0,43.47826086956522,0.0
distracting element,0.24089153433545776,0.7092913212599578,0.6821159963254575,,3.5185185185185186,51.85185185185185,3.7037037037037033
double,0.3394824054778806,0.7662212458940653,0.7911418561752026,,3.5,57.692307692307686,0.0
out of scope,,,0.5773375188862836,,2.925925925925926,7.4074074074074066,25.925925925925924
rule_conclusion,0.36565293856857695,0.5202466470223887,0.7750696473651462,,3.5185185185185186,59.25925925925925,18.51851851851852
simple,0.2622698682180106,0.514882878615306,0.7100529647790469,,2.9615384615384617,26.923076923076923,0.0
situational,0.40387169414947194,0.5760221128110532,0.7344614443955598,,3.4074074074074074,59.25925925925925,3.7037037037037033
vague,0.13290964746903444,0.08342491255866157,0.4706226576257635,,1.4814814814814814,0.0,0.0
Overall,0.2708715409546559,0.5229953996251139,0.7028630102167324,,3.13265306122449,40.136054421768705,5.1020408163265305
